,station,lat,lon,time,weather,weatherfont,weathersymbol,weathercolour,temperature,pressure,sl_pressure,dewpoint,windspeed,winddir,visibility,visual_range,cloudcover,pressure3h_change,rain,wwletter
1424,LTDA,36.36278,36.28222,2024-05-28 11:50:00,,,,,28.0,1009.0,1362.3456188490322,17.0,20.0,210.0,10000.0,99999,,0.0,0,11160021201028020170300904362351000600007000080000
1425,LTFD,39.5546,27.0138,2024-05-28 11:50:00,,,,,25.0,1013.0,1083.2344518091843,10.0,10.0,250.0,10000.0,99999,,0.0,0,11160025101025020100301304083251000600007000080000
1426,LTFG,36.29922,32.3006,2024-05-28 11:50:00,,,,,25.0,1011.0,1132.7826161851845,19.0,8.0,230.0,10000.0,99999,,0.0,0,11160023081025020190301104132751000600007000080000
1470,LBIA,42.4549,26.3522,2024-05-28 12:00:00,,,,,23.0,1014.0,1890.1054712729651,8.0,6.0,120.0,10000.0,99999,,0.0,0,1116001206102302080301404890151000600007000080000
1471,LBPL,43.4514,24.5028,2024-05-28 12:00:00,,,,,23.0,1014.0,1559.321037130737,12.0,2.0,350.0,10000.0,99999,,0.0,0,11160035021023020120301404559351000600007000080000
1510,ETEK,49.6503,7.30007,2024-05-28 11:55:00,,,,,14.5,30.13,1030.13,6.3,6.0,200.0,10000.0,99999,,0.0,0,111600200610145206533014030151000600007000080000
1611,ETIC,49.6987,11.9402,2024-05-28 11:55:00,,,,,16.8,30.09,4898.1718629743455,7.7,6.0,280.0,10000.0,99999,,0.0,0,111600280610168207833004898151000600007000080000
1754,LTCI,38.4682,43.3323,2024-05-28 11:50:00,,,,,19.0,1020.0,14.285093199747427,13.0,7.0,240.0,10000.0,99999,,0.0,0,1116002407101902013030200414251000600007000080000
1767,LTAB,39.935,32.7408,2024-05-28 11:50:00,95.0,36.0,2,red,16.0,1013.0,9.21325918709141,12.0,6.0,240.0,10000.0,99999,,0.0,0,111600240610160201203013049251000600007950080000
1768,LTAD,39.9498,32.6886,2024-05-28 11:50:00,95.0,36.0,2,red,16.0,1014.0,9.121553743364872,12.0,6.0,280.0,10000.0,99999,,0.0,0,111600280610160201203014049151000600007950080000
1769,LTAH,38.7264,30.6011,2024-05-28 11:50:00,,,,,18.0,1014.0,9.964796145295526,10.0,2.0,250.0,10000.0,99999,,0.0,0,111600250210180201003014049951000600007000080000
1770,LTAR,39.8138,36.9035,2024-05-28 11:50:00,95.0,36.0,2,red,17.0,1015.0,14.89488031100652,9.0,7.0,150.0,10000.0,99999,,0.0,0,111600150710170209030150414851000600007950080000
1771,LTAV,39.4515,31.3653,2024-05-28 11:50:00,,,,,16.0,1013.0,10.636776567796508,10.0,7.0,260.0,10000.0,99999,,0.0,0,1116002607101602010030130410651000600007000080000
1773,LTBG,40.318,27.9777,2024-05-28 11:50:00,,,,,21.0,1014.0,1310.407179634136,10.0,6.0,20.0,10000.0,99999,,0.0,0,11160002061021020100301404310451000600007000080000
1774,LTBI,39.7841,30.5821,2024-05-28 11:50:00,,,,,20.0,1013.0,7305.133496288609,8.0,7.0,260.0,10000.0,99999,,0.0,0,1116002607102002080301304305151000600007000080000
1775,LTBL,38.513,27.0101,2024-05-28 11:50:00,,,,,27.0,1012.0,1032.5811041205543,9.0,14.0,310.0,10000.0,99999,,0.0,0,1116003114102702090301204032551000600007000080000
1776,LTBQ,40.735,30.0833,2024-05-28 11:50:00,,,,,22.0,1014.0,1317.2454350653045,10.0,6.0,,10000.0,99999,,0.0,0,11160036061022020100301404317251000600007000080000
1777,LTBT,38.8089,27.8339,2024-05-28 11:50:00,,,,,27.0,1011.0,1370.2639486784224,7.0,8.0,340.0,10000.0,99999,,0.0,0,1116003408102702070301104370251000600007000080000
1780,LTCK,38.7478,41.6612,2024-05-28 11:50:00,,,,,26.0,1015.0,8846.777520166945,10.0,11.0,190.0,10000.0,99999,,0.0,0,11160019111026020100301504846751000600007000080000
1781,LTFA,38.5176,26.9774,2024-05-28 11:50:00,,,,,27.0,1012.0,1028.7086562024367,9.0,11.0,340.0,10000.0,99999,,0.0,0,1116003411102702090301204028751000600007000080000
2071,ULPB,61.8852,34.1547,2024-05-28 12:00:00,,,,,28.0,1018.0,1212.7961983122113,11.0,5.0,280.0,10000.0,99999,,0.0,0,11160028051028020110301804212751000600007000080000
2130,LTAE,40.0789,32.5656,2024-05-28 11:50:00,95.0,36.0,2,red,13.0,1013.0,11.235837002010774,12.0,2.0,,10000.0,99999,,0.0,0,1116003602101302012030130411251000600007950080000
2177,LIPB,46.4602,11.3264,2024-05-28 11:50:00,,,,,21.0,1015.0,2603.969678109288,13.0,4.0,,10000.0,99999,,0.0,0,11160036041021020130301504603951000600007000080000
2190,LIBF,41.4329,15.535,2024-05-28 11:50:00,,,,,29.0,1012.0,1348.1124826473388,12.0,10.0,90.0,10000.0,99999,,0.0,0,11160009101029020120301204348151000600007000080000
2194,LIMA,45.0864,7.60337,2024-05-28 11:50:00,,,,,23.0,1015.0,2769.928770943035,12.0,3.0,,10000.0,99999,,0.0,0,11160036031023020120301504769951000600007000080000
2200,LIRI,40.6204,14.9113,2024-05-28 11:50:00,,,,,23.0,1015.0,1201.065494535837,18.0,10.0,230.0,10000.0,99999,,0.0,0,11160023101023020180301504201051000600007000080000
2293,LRCV,44.3181,23.8886,2024-05-28 12:00:00,,,,,21.0,1013.0,2233.6409256420866,8.0,6.0,280.0,10000.0,99999,,0.0,0,1116002806102102080301304233651000600007000080000
2450,LIPU,45.3958,11.8479,2024-05-28 11:50:00,,,,,21.0,1015.0,1088.773848250706,16.0,3.0,330.0,10000.0,99999,,0.0,0,11160033031021020160301504088751000600007000080000
2460,LPBJ,38.0789,-7.9324,2024-05-28 12:00:00,,,,,30.0,1017.0,1854.9205549976102,10.0,2.0,,10000.0,99999,,0.0,0,11160036021030020100301704854951000600007000080000
2465,LPOV,40.9159,-8.64592,2024-05-28 12:00:00,,,,,20.0,1020.0,1119.5653329591337,13.0,13.0,350.0,10000.0,99999,,0.0,0,11160035131020020130302004119551000600007000080000
2471,UMBB,52.1083,23.8981,2024-05-28 12:00:00,,,,,27.0,1017.0,1688.6273333377276,5.0,4.0,130.0,10000.0,99999,,0.0,0,1116001304102702050301704688651000600007000080000
2474,UMMG,53.602,24.0538,2024-05-28 12:00:00,,,,,28.0,1017.0,1625.0613699146452,9.0,4.0,150.0,10000.0,99999,,0.0,0,1116001504102802090301704625051000600007000080000
2498,UWLW,54.401,48.8027,2024-05-28 12:00:00,,,,,24.0,1023.0,1416.6797813901658,2.0,6.0,250.0,10000.0,99999,,0.0,0,1116002506102402020302304416651000600007000080000
2567,EGEC,55.4372,-5.68639,2024-05-28 11:50:00,61.0,36.0,^,green,12.0,1003.0,1125.9770472343996,12.0,12.0,140.0,4000.0,99999,,0.0,0,11120014121012020120300304125951000600007610080000
2577,EGWC,52.64,-2.30558,2024-05-28 11:50:00,80.0,36.0,q,green,16.0,1008.0,1659.721274818484,14.0,10.0,200.0,10000.0,99999,,0.0,0,11160020101016020140300804659751000600007800080000
2580,EGXC,53.093,-0.16601,2024-05-28 11:50:00,,,,,15.0,1010.0,1068.2175539159132,13.0,10.0,170.0,10000.0,99999,,0.0,0,11160017101015020130301004068251000600007000080000
2632,LGHI,38.3432,26.1406,2024-05-28 11:50:00,,,,,24.0,1013.0,1034.7331912392408,12.0,10.0,40.0,10000.0,99999,,0.0,0,11160004101024020120301304034751000600007000080000
2635,LGSO,37.4228,24.9509,2024-05-28 11:50:00,,,,,24.0,1015.0,1379.3205413128942,10.0,7.0,20.0,10000.0,99999,,0.0,0,11160002071024020100301504379351000600007000080000
2636,LIMP,44.8245,10.2964,2024-05-28 11:50:00,,,,,23.0,1015.0,1269.769678968326,16.0,5.0,90.0,6000.0,99999,,0.0,0,11130009051023020160301504269751000600007000080000
2641,LKKB,50.1214,14.5436,2024-05-28 12:00:00,61.0,36.0,^,green,15.0,1018.0,3870.2264404934854,12.0,5.0,320.0,10000.0,99999,,0.0,0,11160032051015020120301804870251000600007610080000
2643,LKLN,49.6752,13.2746,2024-05-28 12:00:00,,,,,15.0,1019.0,4743.595818378064,10.0,6.0,240.0,10000.0,99999,,0.0,0,11160024061015020100301904743551000600007000080000
2659,LTCD,39.7102,39.527,2024-05-28 11:50:00,,,,,25.0,1013.0,8414.318643288832,8.0,6.0,120.0,10000.0,99999,,0.0,0,1116001206102502080301304414351000600007000080000
2663,LTFH,41.2545,36.5671,2024-05-28 11:50:00,,,,,18.0,1013.0,1047.8674786024098,15.0,6.0,10.0,8000.0,99999,,0.0,0,11140001061018020150301304047851000600007000080000
2670,UMOO,53.9549,30.0951,2024-05-28 12:00:00,80.0,36.0,q,green,25.0,1022.0,2054.842453200439,13.0,4.0,120.0,9000.0,99999,,0.0,0,11150012041025020130302204054851000600007800080000
2692,EIDL,55.0442,-8.341,2024-05-28 12:00:00,,,,,14.0,1002.0,1076.5091986611824,12.0,18.0,230.0,10000.0,99999,,0.0,0,11160023181014020120300204076551000600007000080000
2700,LIBC,38.9972,17.0802,2024-05-28 11:50:00,,,,,25.0,1015.0,1837.3423872185017,14.0,5.0,170.0,10000.0,99999,,0.0,0,11160017051025020140301504837351000600007000080000
2701,LIBG,40.5175,17.4032,2024-05-28 11:50:00,,,,,24.0,1013.0,1342.4643890035447,15.0,9.0,110.0,10000.0,99999,,0.0,0,11160011091024020150301304342451000600007000080000
2703,LICG,36.8165,11.9689,2024-05-28 11:50:00,,,,,26.0,1016.0,1983.3896602878146,3.0,6.0,180.0,10000.0,99999,,0.0,0,1116001806102602030301604983351000600007000080000
2706,LIMG,44.0506,8.12743,2024-05-28 11:50:00,,,,,22.0,1015.0,1259.4121307421235,16.0,8.0,80.0,10000.0,99999,,0.0,0,11160008081022020160301504259451000600007000080000
2710,LIQN,42.4272,12.8517,2024-05-28 11:50:00,,,,,24.0,1015.0,3379.914279650968,10.0,3.0,200.0,10000.0,99999,,0.0,0,11160020031024020100301504379951000600007000080000
2716,LIRU,41.9519,12.4989,2024-05-28 11:50:00,,,,,26.0,1014.0,1088.4204118490359,14.0,8.0,240.0,10000.0,99999,,0.0,0,11160024081026020140301404088451000600007000080000
2728,LPAR,38.8833,-9.0301,2024-05-28 12:00:00,,,,,29.0,1018.0,1031.2312521447818,12.0,8.0,20.0,10000.0,99999,,0.0,0,11160002081029020120301804031251000600007000080000
2729,LPMR,39.8312,-8.88726,2024-05-28 12:00:00,,,,,20.0,1020.0,1367.0867117464375,13.0,13.0,340.0,10000.0,99999,,0.0,0,11160034131020020130302004367051000600007000080000
2730,LPMT,38.7039,-9.03592,2024-05-28 12:00:00,,,,,27.0,1018.0,1077.9984579663048,13.0,7.0,360.0,10000.0,99999,,0.0,0,11160036071027020130301804077951000600007000080000
2756,LTBF,39.6193,27.926,2024-05-28 11:50:00,,,,,23.0,1013.0,1575.6613552122988,10.0,7.0,360.0,10000.0,99999,,0.0,0,11160036071023020100301304575651000600007000080000
2757,LTCA,38.6069,39.2914,2024-05-28 11:50:00,,,,,29.0,1011.0,5843.472680616383,5.0,13.0,120.0,10000.0,99999,,0.0,0,1116001213102902050301104843451000600007000080000
2779,LPST,38.8311,-9.33955,2024-05-28 12:00:00,,,,,22.0,1019.0,1806.3023549387212,15.0,11.0,310.0,10000.0,99999,,0.0,0,11160031111022020150301904806351000600007000080000
2789,EGQL,56.3729,-2.86844,2024-05-28 11:50:00,,,,,14.0,1006.0,1101.13577369095,10.0,13.0,120.0,10000.0,99999,,0.0,0,11160012131014020100300604101151000600007000080000
2792,EGYE,52.9622,-0.56163,2024-05-28 11:50:00,,,,,14.0,1010.0,2063.631538856481,13.0,13.0,160.0,10000.0,99999,,0.0,0,11160016131014020130301004063651000600007000080000
2793,EGYM,52.6484,0.55069,2024-05-28 11:50:00,61.0,36.0,^,green,15.0,1011.0,1189.894552618129,14.0,12.0,160.0,5000.0,99999,,0.0,0,11130016121015020140301104189851000600007610080000
2798,LBWB,43.4238,28.1813,2024-05-28 12:00:00,,,,,16.0,1014.0,2779.381347929705,12.0,4.0,350.0,10000.0,99999,,0.0,0,11160035041016020120301404779351000600007000080000
2801,ETIH,49.2181,11.8361,2024-05-28 11:55:00,,,,,15.5,30.12,5578.144554070603,6.2,9.0,260.0,10000.0,99999,,0.0,0,111600260910155206533014578151000600007000080000
